/* programa de prueba */	-100	-1	1
program	-51	-2	1
os_1	-51	-2	1
;	-73	-1	1
var	-51	-2	2
%	-25	-1	2
int	-51	-2	3
cont	-51	-2	3
,	-74	-1	3
x	-51	-2	3
,	-74	-1	3
suma	-51	-2	3
,	-74	-1	3
valor	-51	-2	3
;	-73	-1	3
real	-51	-2	4
rReal	-51	-2	4
,	-74	-1	4
r2Real	-51	-2	4
;	-73	-1	4
string	-51	-2	5
sS1__1	-51	-2	5
;	-73	-1	5
bool	-51	-2	6
bBBBB1	-51	-2	6
,	-74	-1	6
bB_2	-51	-2	6
,	-74	-1	6
b2	-51	-2	6
;	-73	-1	6
array	-51	-2	7
[	-76	-1	7
23	-61	-1	7
[	-76	-1	7
]	-77	-1	7
]	-77	-1	7
;	-73	-1	7
&&	-30	-1	9
&&	-30	-1	9
begin	-51	-2	10
read	-51	-2	11
(	-71	-1	11
valor	-51	-2	11
)	-72	-1	11
)	-72	-1	11
;	-73	-1	11
/* variables   */	-100	-1	12
x	-51	-2	13
=	-32	-1	13
0.4	-62	-1	13
;	-73	-1	13
rReal	-51	-2	14
=	-32	-1	14
-	-27	-1	14
-	-27	-1	14
34.565	-62	-1	14
;	-73	-1	14
while	-51	-2	15
(	-71	-1	15
valor	-51	-2	15
>=	-36	-1	15
0	-61	-1	15
||	-31	-1	15
sS1_1	-51	-2	15
<	-33	-1	15
2	-61	-1	15
&&	-30	-1	15
!	-37	-1	15
bB_2	-51	-2	15
)	-72	-1	15
do	-51	-2	15
begin	-51	-2	16
suma	-51	-2	17
=	-32	-1	17
cont	-51	-2	17
+	-26	-1	17
9	-61	-1	17
;	-73	-1	17
b2	-51	-2	18
=	-32	-1	18
17	-61	-1	18
!	-37	-1	18
=	-32	-1	18
67	-61	-1	18
end	-51	-2	19
repeat	-51	-2	20
begin	-51	-2	21
end	-51	-2	22
until	-51	-2	23
(	-71	-1	23
bB_2	-51	-2	23
==	-28	-1	23
false	-51	-2	23
procedure	-51	-2	24
log	-51	-2	24
(	-71	-1	24
)	-72	-1	24
begin	-51	-2	25
end	-51	-2	26
function	-51	-2	27
log2	-51	-2	27
(	-71	-1	27
)	-72	-1	27
begin	-51	-2	28
end	-51	-2	29
if	-51	-2	30
(	-71	-1	30
suma	-51	-2	30
<=	-34	-1	30
10	-61	-1	30
&&	-30	-1	30
bB2	-51	-2	30
==	-28	-1	30
true	-51	-2	30
)	-72	-1	30
then	-51	-2	30
begin	-51	-2	31
x	-51	-2	32
=	-32	-1	32
x	-51	-2	32
+	-26	-1	32
(	-71	-1	32
10	-61	-1	32
*	-23	-1	32
5	-61	-1	32
)	-72	-1	32
/	-24	-1	32
2	-61	-1	32
;	-73	-1	32
sS1	-51	-2	33
=	-32	-1	33
" cadena de caracteres "	-63	-1	33
;	-73	-1	33
ss2	-51	-2	34
=	-32	-1	34
""	-63	-1	34
;	-73	-1	34
end	-51	-2	35
else	-51	-2	36
begin	-51	-2	37
write	-51	-2	38
(	-71	-1	38
suma	-51	-2	38
)	-72	-1	38
;	-73	-1	38
suma	-51	-2	39
=	-32	-1	39
valor	-51	-2	39
*	-23	-1	39
67	-61	-1	39
;	-73	-1	39
end	-51	-2	40
valor	-51	-2	41
=	-32	-1	41
suma	-51	-2	41
*	-23	-1	41
10	-61	-1	41
+	-26	-1	41
37	-61	-1	41
;	-73	-1	41
end	-51	-2	42
